Update,Date,Impact
"Rel-canonical Tag",2009-02-01,20
"Google Suggest",2008-08-01,30
Dewey,2008-04-01,20
Buffy,2007-06-01,20
"Universal Search",2007-05-01,30
"False Alarm",2006-12-01,20
"Supplemental Update",2006-11-01,30
"Big Daddy",2005-12-01,20
"Google Local/Maps",2005-10-01,20
Jagger,2005-10-01,20
Gilligan,2005-09-01,20
"XML Sitemaps",2005-06-01,20
"Personalized Search",2005-06-01,20
Bourbon,2005-05-01,20
Allegra,2005-02-01,20
Nofollow,2005-01-01,20
"Google IPO",2004-08-01,20
Brandy,2004-02-01,20
Austin,2004-01-01,50
Florida,2003-11-01,50
"Supplemental Index",2003-09-01,20
Fritz,2003-07-01,20
Esmeralda,2003-06-01,20
Dominic,2003-05-01,20
Cassandra,2003-04-01,20
Boston,2003-02-01,20
"1st Documented Update",2002-09-01,20
"Google Toolbar",2000-12-01,20
